org,orgLabel
http://www.wikidata.org/entity/Q2919781,Claro TV
http://www.wikidata.org/entity/Q2985173,Mega Soriana
http://www.wikidata.org/entity/Q2646652,Banco Nacional de México
http://www.wikidata.org/entity/Q2839834,Mixup
http://www.wikidata.org/entity/Q2843626,todito.com
http://www.wikidata.org/entity/Q2855873,Group Lala
http://www.wikidata.org/entity/Q2874823,Axtel
http://www.wikidata.org/entity/Q3100803,Genomma Lab Internacional
http://www.wikidata.org/entity/Q3209285,Grupo Reforma
http://www.wikidata.org/entity/Q3323885,Sky México
http://www.wikidata.org/entity/Q3504746,Supermercados Gigante
http://www.wikidata.org/entity/Q3517255,Telcel
http://www.wikidata.org/entity/Q3517416,Telnor
http://www.wikidata.org/entity/Q3570026,World Wrestling Association
http://www.wikidata.org/entity/Q3365858,Bodega Aurrera
http://www.wikidata.org/entity/Q3369963,Jarritos
http://www.wikidata.org/entity/Q3375400,Jumex
http://www.wikidata.org/entity/Q3376620,Tajín
http://www.wikidata.org/entity/Q4654057,ASARCO
http://www.wikidata.org/entity/Q4734781,Alpek
http://www.wikidata.org/entity/Q4735783,Alsea
http://www.wikidata.org/entity/Q4736968,Altos Hornos de México
http://www.wikidata.org/entity/Q4822661,Aurrerá
http://www.wikidata.org/entity/Q4947983,Boston Medical Group
http://www.wikidata.org/entity/Q4836064,BMW Mexico
http://www.wikidata.org/entity/Q4854076,Aztec Bank
http://www.wikidata.org/entity/Q4854136,Bancomext
http://www.wikidata.org/entity/Q4859834,Barcel
http://www.wikidata.org/entity/Q5172898,Correos de México
http://www.wikidata.org/entity/Q5014680,CUDI
http://www.wikidata.org/entity/Q5015708,Cablemás
http://www.wikidata.org/entity/Q5016358,Grupo Cadena
http://www.wikidata.org/entity/Q5021355,Calimax
http://www.wikidata.org/entity/Q5026777,Camino Real Hotels
http://www.wikidata.org/entity/Q5058673,Cemento Cruz Azul
http://www.wikidata.org/entity/Q5351735,El Palacio de Hierro
http://www.wikidata.org/entity/Q5520129,Gamesa
http://www.wikidata.org/entity/Q5549508,Grupo CIE
http://www.wikidata.org/entity/Q5584727,Gorditas Doña Tota
http://www.wikidata.org/entity/Q5612176,Grupo Aeroportuario Centro Norte
http://www.wikidata.org/entity/Q5612177,Grupo Aeroportuario del Pacífico
http://www.wikidata.org/entity/Q5612214,Grupo Famsa
http://www.wikidata.org/entity/Q5612239,Grupo Multimedios
http://www.wikidata.org/entity/Q5612245,Grupo Posadas
http://www.wikidata.org/entity/Q5612255,GT Global
http://www.wikidata.org/entity/Q5612263,Grupo Vidanta
http://www.wikidata.org/entity/Q5435609,Farmacias Guadalajara
http://www.wikidata.org/entity/Q5435613,Farmacias Benavides
http://www.wikidata.org/entity/Q5623157,Guía Roji
http://www.wikidata.org/entity/Q5635881,HSBC Mexico
http://www.wikidata.org/entity/Q5637853,Transportes del Nazas
http://www.wikidata.org/entity/Q5655160,Hard Candy Fitness
http://www.wikidata.org/entity/Q5665942,Alestra
http://www.wikidata.org/entity/Q5711393,Audiomaster 3000
http://www.wikidata.org/entity/Q5712397,Q5712397
http://www.wikidata.org/entity/Q5713064,Q5713064
http://www.wikidata.org/entity/Q5715556,Bank of Central America
http://www.wikidata.org/entity/Q5715748,BNKR Arquitectura
http://www.wikidata.org/entity/Q5717818,Q5717818
http://www.wikidata.org/entity/Q5718183,BanBajío
http://www.wikidata.org/entity/Q5719137,Banco del Bienestar
http://www.wikidata.org/entity/Q5731817,Concarril bn
http://www.wikidata.org/entity/Q5735902,Alexander
http://www.wikidata.org/entity/Q5737720,Q5737720
http://www.wikidata.org/entity/Q5739148,Café Punta del Cielo
http://www.wikidata.org/entity/Q5742457,Caminos y Puentes Federales
http://www.wikidata.org/entity/Q5748770,Q5748770
http://www.wikidata.org/entity/Q5763579,Cervecería Moctezuma
http://www.wikidata.org/entity/Q5769671,Q5769671
http://www.wikidata.org/entity/Q5812112,Q5812112
http://www.wikidata.org/entity/Q5822376,Q5822376
http://www.wikidata.org/entity/Q5852793,Everis
http://www.wikidata.org/entity/Q5855855,Q5855855
http://www.wikidata.org/entity/Q5869223,Q5869223
http://www.wikidata.org/entity/Q5872045,Q5872045
http://www.wikidata.org/entity/Q5876989,General Motors de México
http://www.wikidata.org/entity/Q5879372,Q5879372
http://www.wikidata.org/entity/Q5882250,Q5882250
http://www.wikidata.org/entity/Q5886021,Grupo ACIR
http://www.wikidata.org/entity/Q5886031,Q5886031
http://www.wikidata.org/entity/Q5886157,Grupo Empresarial Ángeles
http://www.wikidata.org/entity/Q5886180,Q5886180
http://www.wikidata.org/entity/Q5886240,Grupo Imagen
http://www.wikidata.org/entity/Q5886244,Q5886244
http://www.wikidata.org/entity/Q5886408,Grupo Radio Centro
http://www.wikidata.org/entity/Q5914649,Q5914649
http://www.wikidata.org/entity/Q5915728,Infinitum
http://www.wikidata.org/entity/Q5916125,Q5916125
http://www.wikidata.org/entity/Q5919414,Q5919414
http://www.wikidata.org/entity/Q5923622,Q5923622
http://www.wikidata.org/entity/Q5954183,Hydra Technologies
http://www.wikidata.org/entity/Q5961684,LOB World Clothing
http://www.wikidata.org/entity/Q5961758,Q5961758
http://www.wikidata.org/entity/Q5976339,Q5976339
http://www.wikidata.org/entity/Q5987390,Q5987390
http://www.wikidata.org/entity/Q6008960,Meebox
http://www.wikidata.org/entity/Q6024506,Q6024506
http://www.wikidata.org/entity/Q6025457,Movistar México
http://www.wikidata.org/entity/Q6025474,Telefónica México
http://www.wikidata.org/entity/Q6041655,Nextel México
http://www.wikidata.org/entity/Q6051516,Q6051516
http://www.wikidata.org/entity/Q6055473,Q6055473
http://www.wikidata.org/entity/Q6093543,Italika
http://www.wikidata.org/entity/Q6130898,Q6130898
http://www.wikidata.org/entity/Q6132613,Q6132613
http://www.wikidata.org/entity/Q6134992,Suburbia
http://www.wikidata.org/entity/Q6135762,Superama
http://www.wikidata.org/entity/Q6137663,Q6137663
http://www.wikidata.org/entity/Q6138296,Taller Acústico S.C.
http://www.wikidata.org/entity/Q6142853,Q6142853
http://www.wikidata.org/entity/Q6151102,Totalplay
http://www.wikidata.org/entity/Q6151263,Q6151263
http://www.wikidata.org/entity/Q6159355,Valores Industriales
http://www.wikidata.org/entity/Q6166147,Q6166147
http://www.wikidata.org/entity/Q6168616,Q6168616
http://www.wikidata.org/entity/Q6168617,Q6168617
http://www.wikidata.org/entity/Q6168620,Q6168620
http://www.wikidata.org/entity/Q6171720,Zonda Telecom
http://www.wikidata.org/entity/Q6174645,Q6174645
http://www.wikidata.org/entity/Q6395613,Keuka
http://www.wikidata.org/entity/Q6409886,Kimberly-Clark de México
http://www.wikidata.org/entity/Q6414506,Kion de Mexico
http://www.wikidata.org/entity/Q6440633,Grupo BAL
http://www.wikidata.org/entity/Q6714509,MASA
http://www.wikidata.org/entity/Q6808160,Megacable
http://www.wikidata.org/entity/Q6864249,Minera San Xavier
http://www.wikidata.org/entity/Q6943626,Mut-vitz
http://www.wikidata.org/entity/Q7141857,Pascual Boing
http://www.wikidata.org/entity/Q7195474,Pineda Covalín
http://www.wikidata.org/entity/Q7554165,Softtek
http://www.wikidata.org/entity/Q7247861,Productos Mendoza
http://www.wikidata.org/entity/Q7387069,S-Mart
http://www.wikidata.org/entity/Q7389452,SDI Media Mexico
http://www.wikidata.org/entity/Q7396446,Sabritas
http://www.wikidata.org/entity/Q7446417,Seguros Azteca
http://www.wikidata.org/entity/Q7448831,Selther
http://www.wikidata.org/entity/Q7449251,Semex
http://www.wikidata.org/entity/Q7512267,Sigma Alimentos
http://www.wikidata.org/entity/Q7621806,Strategic Marine
http://www.wikidata.org/entity/Q7826080,Tornel
http://www.wikidata.org/entity/Q7827515,Toryumon
http://www.wikidata.org/entity/Q7835317,Transportes Moctezuma de la Laguna
http://www.wikidata.org/entity/Q7696109,Telecosmo
http://www.wikidata.org/entity/Q7696837,Telesistema Mexicano
http://www.wikidata.org/entity/Q7696918,Televisa Deportes
http://www.wikidata.org/entity/Q7884173,Unefón
http://www.wikidata.org/entity/Q7894010,Universal Lucha Libre
http://www.wikidata.org/entity/Q7900558,Uriarte Talavera
http://www.wikidata.org/entity/Q8076952,Ánima Estudios
http://www.wikidata.org/entity/Q9008090,Imevisión
http://www.wikidata.org/entity/Q9025671,Luz y Fuerza del Centro
http://www.wikidata.org/entity/Q9026411,MVS Comunicaciones
http://www.wikidata.org/entity/Q9085582,Televisa Internacional
http://www.wikidata.org/entity/Q9089355,TracFone Wireless
http://www.wikidata.org/entity/Q11121253,Q11121253
http://www.wikidata.org/entity/Q11680385,Izzi Telecom
http://www.wikidata.org/entity/Q11682223,Grupo Gigante
http://www.wikidata.org/entity/Q12147140,Minera Real de Angeles
http://www.wikidata.org/entity/Q12176488,Aguila Ammunition
http://www.wikidata.org/entity/Q16487355,Administradora Coahuilense de Infraestructura y Transporte Aéreo
http://www.wikidata.org/entity/Q16489891,Q16489891
http://www.wikidata.org/entity/Q16564015,Q16564015
http://www.wikidata.org/entity/Q16570122,Fundidora Monterrey
http://www.wikidata.org/entity/Q16572768,Q16572768
http://www.wikidata.org/entity/Q16587311,Q16587311
http://www.wikidata.org/entity/Q16587483,Q16587483
http://www.wikidata.org/entity/Q16618159,Q16618159
http://www.wikidata.org/entity/Q17058108,Q17058108
http://www.wikidata.org/entity/Q17067129,Grupo Anderson's
http://www.wikidata.org/entity/Q17108693,Casa Aramara
http://www.wikidata.org/entity/Q17479873,Club Premier
http://www.wikidata.org/entity/Q17620099,Linio
http://www.wikidata.org/entity/Q17620243,Q17620243
http://www.wikidata.org/entity/Q17622888,Bio Pappel
http://www.wikidata.org/entity/Q17274895,Q17274895
http://www.wikidata.org/entity/Q17280695,PJP4
http://www.wikidata.org/entity/Q17631764,Eutelsat Americas
http://www.wikidata.org/entity/Q17633354,Q17633354
http://www.wikidata.org/entity/Q18418472,Q18418472
http://www.wikidata.org/entity/Q19691975,Kurazai Motorcycles
http://www.wikidata.org/entity/Q19939047,Ganabet Mexico
http://www.wikidata.org/entity/Q21010246,Squad
http://www.wikidata.org/entity/Q21015802,Machina
http://www.wikidata.org/entity/Q24655074,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."
http://www.wikidata.org/entity/Q26758095,Politec
http://www.wikidata.org/entity/Q26765126,La Comer
http://www.wikidata.org/entity/Q27830263,Ayco
http://www.wikidata.org/entity/Q28155510,Cielito Querido Café
http://www.wikidata.org/entity/Q30273336,Boehringer Ingelheim (Mexico)
http://www.wikidata.org/entity/Q30269288,Merck Sharp & Dohme (Mexico)
http://www.wikidata.org/entity/Q43895045,Laboratorios Sophia (Mexico)
http://www.wikidata.org/entity/Q48783378,Vips
http://www.wikidata.org/entity/Q48835586,Toks
http://www.wikidata.org/entity/Q50035374,Instituto Lala (Mexico)
http://www.wikidata.org/entity/Q50039747,Novartis (Mexico)
http://www.wikidata.org/entity/Q53469317,Monte Xanic
http://www.wikidata.org/entity/Q52385869,Solaris Hotels
http://www.wikidata.org/entity/Q55605529,Bital
http://www.wikidata.org/entity/Q61501534,Cuauhtemoc Brewery
http://www.wikidata.org/entity/Q61890241,Las Estrellas Internacional
http://www.wikidata.org/entity/Q56585511,Editorial Mexicana de Musica Internacional S.A. de C.V.
http://www.wikidata.org/entity/Q62564610,Farmacias Similares
http://www.wikidata.org/entity/Q71327536,Q71327536
http://www.wikidata.org/entity/Q73747539,GTE General de telecomunicaciones
http://www.wikidata.org/entity/Q74165582,Novedades Electronicas S.A.
http://www.wikidata.org/entity/Q75755892,ABC Noticias
http://www.wikidata.org/entity/Q76761850,Bitso
http://www.wikidata.org/entity/Q78791679,Q78791679
http://www.wikidata.org/entity/Q79461809,SV Audio Solutions
http://www.wikidata.org/entity/Q84170824,Witness MX
http://www.wikidata.org/entity/Q102291616,Q102291616
http://www.wikidata.org/entity/Q99870192,Treehouse Entertainment
http://www.wikidata.org/entity/Q99959844,Café Baristi
http://www.wikidata.org/entity/Q100249498,"Discos y Cintas Melody, S.A."
http://www.wikidata.org/entity/Q100956116,Novo Nordisk (Mexico)
http://www.wikidata.org/entity/Q100956125,Sanofi (Mexico)
http://www.wikidata.org/entity/Q104216684,Q104216684
http://www.wikidata.org/entity/Q104218061,Q104218061
http://www.wikidata.org/entity/Q104218069,Q104218069
http://www.wikidata.org/entity/Q104855363,Edufold
http://www.wikidata.org/entity/Q105630774,Novusred
http://www.wikidata.org/entity/Q106369984,Lizos Music
http://www.wikidata.org/entity/Q106411713,Bayer (Mexico)
http://www.wikidata.org/entity/Q107122465,Galeria Emilia Cohen
http://www.wikidata.org/entity/Q107048623,Digibuy
http://www.wikidata.org/entity/Q108539714,Devy
http://www.wikidata.org/entity/Q108547811,YIPARD
http://www.wikidata.org/entity/Q108679982,Jardin de Greta
http://www.wikidata.org/entity/Q107578371,Resuelve tu Deuda
http://www.wikidata.org/entity/Q110938496,Kavak
http://www.wikidata.org/entity/Q108757121,Owlify
http://www.wikidata.org/entity/Q110702340,Sushi Roll
http://www.wikidata.org/entity/Q111293510,Elpro
